HW1;HW2;HW3;HW57;HW53
19;13;81.3;4;13.2
28;13.3;88;4;13
10;8.2;70.5;4;12.8
37;14.2;92.2;3;11.2
39;12.5;88.3;2;9.3
42;17.3;95.3;4;11.9
22;10.3;80;4;11.4
53;14.8;96.3;4;12.4
19;10.4;78.1;3;10.1
57;14.8;99.6;3;10.2
19;9.9;80.5;2;9.4
10;8;69;2;9.7
34;11.5;82.9;3;10.1
6;8.7;67;3;10.6
36;12.2;88.4;2;9.8
54;18;105.5;3;10.5
31;10.4;81.4;3;10.7
10;7.5;68.4;2;9.2
9;7.9;66.3;2;9.2
38;11.9;90;4;12.4
27;11.2;81.4;4;11.2
51;13.4;96.8;3;10.8
39;12;89.3;4;11
14;9.5;76.5;3;10.5
50;15.6;99.4;4;11.6
6;7.3;64.3;2;9.7
18;10.3;80.4;4;11.2
50;13.8;93.4;4;12.4
7;8.1;69;2;8.1
35;12.8;86.9;2;9.9
46;14.4;93.2;3;10.7
28;11.9;85.2;2;9.6
11;9.6;72;2;9.3
11;7.1;68;2;8.7
18;9.6;74.5;4;11
18;8.9;75.5;3;10.4
42;14.7;90.8;4;12.1
42;14.2;94.3;3;10.4
46;15.6;97.5;3;10.6
40;15.6;90;4;11.3
31;12.3;85;4;11.4
6;7.9;65.4;2;9.2
32;12.6;85.7;4;12.3
30;11;84.1;4;12.2
40;15.6;95.5;4;11.6
14;7.7;72.8;2;9.9
39;11.7;88.2;4;11.8
40;13.1;90;3;10.6
56;15.6;98.4;3;10.2
18;9.7;79.5;4;11.6
33;12;83.8;4;11.6
49;12.8;92;3;10.1
28;13.1;87.8;4;11.6
35;11.5;86.4;4;12.7
52;15.7;100.2;4;11.3
29;9.5;82.4;3;10.7
25;12.4;84;4;11.2
10;8.9;71.5;2;9.4
40;17.7;98.8;4;11.4
55;14.2;95.5;3;10.7
55;13.5;93.5;3;10.6
37;12.5;88.8;4;11
43;17.4;97;4;11.2
23;10.6;82.5;2;9.9
54;15.8;97.3;4;11.5
8;9.9;73.1;2;9.8
9;9.2;68.8;4;12.5
50;18;103.9;4;12.6
55;16.8;103.5;4;12.3
22;12.6;87.8;4;12.8
7;7.1;65.1;3;11.1
7;12.1;71;2;10
7;8.7;68.3;3;11
20;12.5;83.3;3;11.1
35;13.1;88.1;4;11.2
57;17.9;106.2;4;12.1
44;14.1;91.7;3;11.1
47;14.3;98.4;4;14.1
49;15.5;96.4;4;13.3
20;9.2;82.5;4;11.7
11;11.1;76.8;2;9.9
58;16.2;102.5;4;11.8
19;9;77.7;4;11.4
9;8.2;70.7;2;9.2
7;6.1;63.6;2;9.9
41;13.3;90.9;4;11.9
29;10.5;89.5;4;11.6
14;8.3;74;2;10.6
37;12.1;86.9;3;11.2
8;8.9;65.5;4;12.7
50;14;96;4;12.9
20;10.4;80.3;3;10.9
45;15.2;94.4;4;11.9
28;12.9;84.4;4;12.4
47;15.1;96.4;4;12.4
25;10.7;82;4;13.4
7;8.3;67.5;2;10.7
17;8.4;78.2;3;10.3
54;13.2;97.3;3;11.1
40;17.1;102.1;4;12.9
28;12.5;86.2;4;12.3
12;8.6;71.1;2;10.1
11;8.3;70.5;4;12.7
23;9.6;81.2;4;12.5
47;12.6;96.1;4;11.7
21;10.9;80.6;2;9.8
21;10.8;80.9;4;13.3
18;9.7;74.3;4;11.8
58;15.5;103.7;4;12.7
34;17.7;94.8;4;12.8
34;13.5;90.3;4;12.7
21;11.7;84.2;4;12.1
16;11;76;4;11.7
47;15.3;101.9;4;12.9
27;11.8;83.6;4;12
10;8.3;70.3;4;13
55;19.3;107;4;13.7
31;14.3;89.9;4;13.1
56;15.2;103.8;4;12.3
9;8.9;73;4;11.6
56;16.4;106.7;4;13.7
47;13.5;96.5;3;11.3
13;7.8;69.1;4;12
25;12;79.8;4;11.7
8;11.2;74.1;3;10.8
55;20.6;108;4;11.8
36;12.5;92.2;4;13.5
54;15.7;98.5;4;12.7
22;10.4;80.2;3;11.8
28;11.5;83.1;4;13
46;14;98.4;4;12.4
31;14.2;93.2;3;11.3
14;11.2;76.3;4;12
45;15.3;96.1;4;11.5
32;16.6;94.3;4;11.6
44;15.8;96.6;4;12.3
12;8.6;73.7;4;12.2
24;12.7;87.2;4;12
59;19;106;4;13.6
29;12.7;86.7;4;13.1
26;11.2;80.6;2;10.6
52;15.8;97.6;3;10.9
54;15.7;106.2;4;12.9
59;12.8;94.5;4;14
8;10.4;73.2;3;11.7
54;12.8;95.5;4;12.6
43;17.1;102.7;3;11.4
38;14.2;95.8;4;12.7
7;8.5;68.2;4;12.4
54;18.6;103;4;12.9
34;11.8;83.9;2;10.9
48;14.9;97.2;4;13.1
23;11.9;86;3;11.4
33;11.6;86.9;4;12.7
53;16.8;101.5;4;13.3
24;13.2;90.1;4;12.2
12;9.8;72;4;11.8
34;12.4;87.7;4;13.1
15;8.3;72.5;4;12.8
58;19.6;108.2;4;12.3
33;12.7;88.8;4;12.2
39;15.2;95.9;4;12.3
26;12.7;90.1;4;12.7
56;20.8;110.3;4;12.9
20;10.3;80.3;4;12
41;13.9;98.6;3;10.9
14;9.6;73.4;3;10.9
14;10.3;74.5;3;10.9
46;16.3;99.9;4;12.5
53;15.5;99.9;4;13.9
50;15.8;103.6;4;14.3
42;14.9;95;4;13
46;18;105.4;4;12.2
7;8.7;69.7;3;10.5
40;16.4;98.4;3;10.8
42;15.9;101.6;4;12.2
6;8.6;70.2;3;10.2
47;16.8;104.3;4;12.2
16;10.5;78.5;4;11
16;10.2;76.6;4;11.3
19;13.1;86.1;4;11.8
38;16.4;96;4;11.2
29;14.7;93;3;10.9
35;12.7;91.1;3;10.9
29;14.3;93.1;4;13.7
31;12.4;93.8;3;10.6
35;15.8;93.5;4;11.6
45;14.9;99.3;4;11.4
33;13.5;91.2;4;11.2
33;12.8;91;4;13.2
30;11.7;86.3;4;11.5
14;9.5;77.2;2;9.7
43;15.8;96.8;4;13.1
40;14.9;93.6;3;10.7
19;11.5;81.9;4;11
32;14;92.8;4;11.2
39;14.5;96.5;4;11.2
22;11.8;85;4;12.7
18;9.8;79.9;3;10.8
36;14;96.4;4;11.6
33;12.9;92.9;4;11.5
29;13.4;93;4;12.3
38;13.1;95.9;2;9.6
18;12.7;86.8;4;11.2
49;22.3;105.5;4;12.1
53;21.2;105.7;4;11
15;11.8;82.9;4;12.5
54;20.9;106.1;4;12.5
13;11.1;77.9;4;11.2
35;15;94.5;4;12.1
37;16.7;96.8;2;9.9
39;15.3;96.8;4;11.5
32;14.7;92.1;4;12.5
30;12.3;92.8;3;10.3
31;14.7;95.9;4;11.5
13;9.9;78.8;4;11.4
32;15.5;96;3;10.9
20;10;80.9;4;12.2
27;11.9;89.2;4;11.6
41;14.1;97;4;11.4
28;11.9;86.5;4;12.3
17;12;80.6;4;11.3
47;18.9;110.1;4;12.2
43;14.4;94.4;3;10.7
7;8.1;69.9;3;10.1
32;10.5;86.2;4;13.2
37;14.1;97.4;4;12.7
7;8.4;68.3;3;10.3
42;18;103.2;3;10
21;12.9;87.1;4;13.1
20;12.6;83.3;4;12.1
51;19.1;103.5;4;12
45;15.6;96;2;9.6
49;15.6;100.8;4;11.1
13;7;67.5;3;10.3
6;7.9;67.5;3;10.2
39;12.8;93.3;4;11.6
12;9.7;77;3;10.3
45;15.8;97.9;4;14.4
29;12.7;87.5;4;14.1
35;17.7;96;3;12.3
51;17.1;104.8;4;13.8
39;14;94.2;4;13.7
14;8.9;72.7;3;12.6
28;12.2;86.2;4;13
48;14.3;96.4;4;13.6
44;16;100.5;4;15
39;11.8;91.5;4;13.3
35;14.9;91.8;4;14
48;16;100;4;11.2
16;11.1;79.4;4;11.3
26;11.6;85.5;3;10.4
38;16.4;99.5;3;10.5
56;25.4;115.3;4;11.2
28;11.9;85.3;3;10.7
42;15.2;97.2;4;11.3
42;18.3;99.2;3;10.4
34;12.9;90.6;3;10.3
41;13.7;98.6;4;12.3
35;16.9;98.6;4;12.1
45;14.2;95.7;4;11.9
7;8.8;68.7;4;12.6
26;11.2;83.7;4;11.2
10;6.7;69;2;9.4
31;10.8;86.2;3;10.4
32;12.3;91.9;4;11.7
35;16.1;101.5;4;12.4
9;9.2;70.7;2;9.7
8;10.2;71.9;4;11.8
34;12.7;90.2;4;11.2
18;9.9;76.4;4;11.8
24;11.6;88.5;4;11.9
28;12.4;87.5;4;13
54;21.5;108.2;4;13.4
59;19.7;106.5;4;12.8
40;15;94.5;4;13.2
16;10.7;77.4;4;11.1
48;14.1;92.8;4;11.2
24;12.2;86.6;4;12.2
32;14;92.5;4;13.5
59;19.1;105.9;4;13.1
49;13.4;97.6;4;12.6
42;15.3;100.8;2;9
25;12.1;85.5;4;11.5
30;11.2;85.1;4;11
14;8;72.2;3;10.8
19;11.9;80.4;3;10.1
49;15.1;98.7;4;11.7
56;14.6;97;4;11.8
45;20.6;103;3;10.7
25;15.7;95.5;4;12.8
46;14.9;99;3;10.1
9;9.6;71.9;4;13.5
36;12.4;89.1;4;11.3
41;16.6;99.3;4;12
26;12.8;87.9;4;11.2
50;16.4;101.4;4;12
28;12;85.8;4;11.6
20;12.2;80.7;4;12.6
6;7.9;64.7;4;12.5
43;15.2;95.8;3;12.1
10;9.9;69;2;10.2
24;13.1;86.3;3;12
20;11.1;81.1;4;13.4
20;10.8;80.6;4;13
20;12.4;84.3;4;12.3
54;17;103.6;4;13.8
31;14.4;91.9;4;13.4
41;17.2;98.5;4;14.3
55;20.4;103.9;3;12.1
41;12;91.7;4;14.2
15;9.4;72.5;2;10.8
28;12.9;86.4;4;14.2
52;15.1;97.8;3;12.5
26;14.7;84.8;3;12.4
23;9.8;79.2;4;13.5
56;17.3;101.8;4;13.9
10;7.7;68.3;2;11.6
26;11.9;87.2;4;14.6
35;15.2;96.8;4;13
19;11.5;81.9;4;13.3
49;13.8;93.5;4;13
34;11;84.5;4;13.4
48;14.2;92.9;4;14.4
14;9.4;75.3;2;10.6
15;9;72.9;4;13.1
12;8.9;70.1;3;12.5
43;16.5;96.3;3;12.4
44;15.7;98.4;4;14.3
16;10.4;76.1;3;13.1
45;15.6;95.3;3;13.1
9;7.5;66.6;3;12.9
9;8.3;67.6;3;12.2
26;11.7;85.7;4;14.1
22;8.9;76.9;3;11.1
55;13.5;93.4;3;10.8
32;12.5;86.8;3;11.1
25;12.2;82.1;4;13.3
15;9;74;2;9.6
8;8.9;67.1;4;13.3
59;15.6;103.4;4;12.9
59;18.7;103.5;4;11.4
30;11.8;88;4;11.5
6;9.1;67.1;4;16.3
25;10.3;79.2;2;12.9
6;6.1;63.5;2;12.1
43;14.5;94.1;3;13.1
6;6.4;62.2;2;10.3
15;9.1;71.9;3;12.7
37;13.7;91.3;4;13.7
30;12.3;85.3;4;13.6
56;17.2;103.7;4;14.2
26;10.4;81.6;3;13
52;14.9;95.6;2;11.8
55;17.5;106.6;3;12.4
26;12;84;2;11.7
36;18.2;96.9;4;14.6
59;18.8;104.2;4;13.8
51;17;105.3;3;13.1
46;14;97.2;2;11.9
35;13.8;92;4;14.1
55;18.1;103.1;4;14.3
37;12.3;87.9;4;13.6
29;12.6;86.5;4;14.3
46;13.5;93.6;4;15
26;11.7;84.7;2;12.3
29;11.8;84.5;4;13.4
51;18.3;103.6;4;15.4
57;14;94.7;4;13.8
40;12.2;89.5;2;10.5
14;10.4;76.7;2;11
44;13.2;93.8;4;13.4
43;13.5;92.9;4;14.5
54;19.3;109.5;4;13.5
29;12.3;82.9;3;12.7
22;9.9;80.6;4;13
58;15.9;105.3;4;13.6
32;14;89.4;3;12.5
49;14.2;101.3;4;14.2
20;12.4;84.4;3;12
33;15.4;94.1;4;13.3
17;9.4;73.5;3;12.3
41;13.6;93.9;4;13.8
35;11;87;2;11.7
20;9.9;78;2;11.4
31;11.3;85;4;12.9
31;11.6;85.4;4;12.7
32;12.6;87;3;12.2
59;18.2;102;4;12.5
26;10.7;84.2;3;12.2
51;12.9;96.7;4;13.5
40;13.7;95;4;13
21;10.2;81.4;4;14.2
10;7.3;68.3;4;13.7
46;14.6;95.7;4;12.5
18;13.7;84.6;4;12.4
53;15.8;99.5;3;12.1
42;12.9;95.4;3;11.9
15;9.6;74.4;4;13.6
38;12.1;92.4;4;13.2
6;7.7;66.2;3;12.2
34;14.8;95;4;13
52;15.9;104.1;4;13.9
35;14.1;96.3;4;13.5
55;18.8;106.7;4;13.5
15;9;73.2;3;12.1
32;13.7;90;4;12.4
36;13;91;3;11.9
28;13.2;91.3;4;13.5
7;9.3;71.4;3;12
23;11.5;86.4;4;13.1
18;12.2;82.2;4;13.3
53;17.9;107.1;4;13.7
52;17.1;104.7;4;13.5
57;16.5;103.7;3;11.5
37;14.5;91.5;3;12.2
59;19.1;108.2;3;11.8
51;16;96.5;4;12.9
7;7.1;62.4;4;13.4
53;16;102.1;4;14.2
37;13.9;94.7;4;13.7
30;12.7;87.4;4;13
8;9;68;3;12.6
34;13;90.8;4;14
51;16.4;102.2;4;14.1
28;12.6;90.7;3;12.4
47;14.4;95.4;4;13.1
41;11.9;92.3;4;14.4
38;12.7;96.3;4;14.8
9;7.8;67.5;3;12.4
39;15.8;94.5;3;12.3
42;15.1;96.3;4;13
33;12.8;88;4;13
47;14.7;98;4;14.3
41;15.4;99.4;4;12.9
26;11.5;85.3;4;13.6
26;14.1;89.3;4;12.7
25;9.9;83.6;4;13.6
20;12.2;87.3;4;13.4
44;15.8;102.2;4;12.8
26;11;82.6;3;12.1
8;8.6;67.7;3;12.3
9;9.8;71.9;4;14.6
43;18.5;103.3;4;13.2
8;8.3;66.1;4;13
21;10.4;78.2;3;12.2
37;13.3;94.1;4;13.8
20;9.7;80;4;13
14;8.8;75.3;3;12.3
21;12.1;83.8;3;13.5
47;17.2;102.7;3;13.6
35;15.6;90.5;3;13.8
27;13;89.1;3;13.8
14;9.3;73.9;2;12.8
8;7.6;65.8;2;12.6
24;14.6;88.2;3;13.8
37;13.1;89.6;4;14.9
37;13.8;90.2;4;14.7
48;14.5;96.2;3;13.5
38;13.4;92;4;15
29;11.5;87.7;4;16.1
26;13;89.7;4;15.1
47;14.8;98;4;14
23;11.3;83.2;4;15.1
46;17.2;102.3;3;12.8
19;8.8;75.5;4;14.8
59;20.7;109.8;4;15.1
21;10;77;3;12.7
46;15.4;95.9;4;13.8
16;7.5;71.9;3;13.1
18;9.6;76.8;3;13.2
23;12;83;4;14.4
29;12.4;86;2;12.5
12;8.4;70.3;3;13.2
49;18.7;94.5;4;14.2
15;7.9;71;4;14.3
12;6.9;70.2;4;14.5
36;13.7;92;4;14.4
15;9.5;74.8;4;15.5
46;14;96.2;4;15
6;8;62.2;4;13.9
45;14.7;93.4;4;13.7
13;9.3;73.7;3;12.5
46;15.3;97.2;4;13.5
57;17.5;105;4;16.1
35;14.7;92.4;4;13.5
50;19.1;104.3;4;14.5
42;17.3;99.9;4;13.7
18;10.8;79.3;3;13.3
10;8.6;71.5;3;12.9
18;9.9;81.7;3;12.7
43;15.9;99.8;3;12.9
19;7.9;76.3;4;14.2
53;15.1;100.5;3;13.1
12;9;73;4;14
47;13.9;93.7;4;14.4
20;12.1;79.3;4;13.6
11;7.9;70.2;2;12.2
26;11.9;84;2;12.1
53;17.3;107.4;4;13.7
8;9.9;69.3;2;11.1
26;10.6;83.3;3;13
56;15.8;100.7;4;15.8
7;8.6;67.4;3;12.9
29;11.2;84.9;4;13.3
10;8;69.2;3;12.1
31;13;89;4;13.1
32;12.4;86.8;4;14.5
15;9.1;74.6;2;11.7
40;15.1;97.2;4;14.9
47;14.1;94.7;4;14.6
10;6.3;70;3;12.6
9;7.4;65.5;4;13.4
59;17.3;100.8;4;14.2
55;16.8;100.3;3;12.8
45;15;95.7;4;15.2
53;15.2;101.3;4;13.9
21;9.3;80.7;3;13.4
40;14.3;96.3;4;14.5
49;13.9;93.5;4;14.4
13;8.4;72.3;4;14.1
10;8.3;72.1;3;12.8
20;10.5;78.2;4;14.3
44;13.7;89.8;4;14.9
46;14.8;93.9;4;15.2
47;15.4;93.7;4;14.1
52;14.7;98.5;3;12.8
33;12.6;90.5;2;11.6
39;12.2;90.1;4;13.6
32;12.5;88.3;4;13.6
11;8.9;71.7;4;13.9
35;12.5;91.9;4;16
30;12.3;85.9;4;14.5
7;9.7;66;3;13.8
52;15;97.4;3;14.2
20;11.3;78.9;4;14.6
40;14.3;93.7;3;14.1
47;13;94.2;4;16.5
49;15.6;96.9;4;14
25;10;77.9;3;12.4
44;13.4;92.4;4;14.4
49;15.6;100.2;3;12.8
17;9.8;77.9;4;15.7
55;16;102;4;14
38;13.4;95;3;13.3
54;15.7;102.8;4;14.4
10;10;66.4;2;11.9
10;7.1;66.4;2;11.4
38;14.3;94.7;4;13.2
27;13.4;89.8;4;14.6
24;11;84.4;3;13
35;13.2;91.1;4;14.3
41;12.1;88.8;3;12
12;9.8;74.3;2;10.8
45;16.3;100.4;4;13.5
19;9.3;76.2;4;13.2
55;16.2;101.2;4;13.7
10;7.9;67.8;3;12.8
47;15.6;96.3;4;13.3
30;12.8;87.1;3;12.1
16;10.2;78.7;4;14.8
6;9.3;68.9;4;13
54;18.5;104.4;4;13.8
50;16.3;100;4;15.7
24;11.4;80.6;4;13.7
32;11.5;85.4;3;12
8;7.1;65.5;3;12.1
55;15.5;102.7;4;15
54;16;101.1;4;14.1
31;12.7;88.3;3;13.2
8;7.5;67.2;4;15.4
51;17.6;100;4;14.9
51;12.7;94.5;4;15
57;15.1;101.5;4;13.6
9;8;67.6;3;12.6
32;11.3;84;3;12.6
22;10.8;83.7;3;13
13;8.5;71.3;2;12.1
7;9.3;70.4;3;13.1
8;8.5;66.5;3;12.8
17;9;74.7;3;13.1
33;11;83.9;3;13
45;13.8;94.3;4;14
21;9.2;77.1;3;13.1
13;8.3;70.2;3;13
59;15.5;99;4;15.3
47;17.4;98;4;14.2
30;11.3;85;3;13.4
30;13.6;87.6;3;13.8
7;8.2;69.4;3;13.7
56;17.3;106.3;3;13.9
48;14.7;95.8;3;13.6
28;11.8;88.2;4;15
49;17.2;100.1;4;14.3
9;8.2;70;2;12
10;10;72.8;2;12.6
59;16.5;100.6;4;12.1
13;8.6;70.1;4;12.4
51;15.4;94.6;4;11.8
39;15.4;100.6;4;11.8
22;12.6;84.5;3;11.3
34;12.3;90.5;4;13
24;11.5;84.1;4;12.5
39;14.1;96;4;13.1
18;9.9;77.8;4;12.5
33;13;88.7;4;12.9
23;11;82.3;3;11.3
28;11.2;87;4;13
23;10.7;83.4;4;15.5
12;9.1;74.4;4;14.2
35;14.8;90.6;4;14.1
24;10.8;80.9;4;13
23;13;84.6;4;13.9
23;12.3;85.1;4;12.4
14;11.6;81.3;4;13.2
21;11.1;85.4;4;13.4
33;11.9;85.6;4;13.9
35;12.3;87.8;3;11.4
51;17.4;107.7;4;13.2
9;8.9;67.8;2;10.4
57;19.3;102.8;4;12.9
32;12.9;91.4;4;13.5
9;9.4;71.2;4;12.1
12;9.3;74.2;4;12.7
44;17.1;102.4;4;13.6
40;13.7;95.2;4;13
27;14.7;92.7;4;14
43;15;99.1;4;13.1
10;11.2;73.6;2;11.2
30;13.7;90.8;4;14.2
18;11.3;81.3;2;9.9
46;15.3;98.4;4;13.9
20;10.2;79.6;4;12.8
31;14;89.5;4;14.1
47;17.7;104.6;4;13.6
21;12.3;79.5;4;12.3
40;14.2;95.6;3;12.1
45;14.3;94.4;3;12.2
37;14.3;95.8;4;13.3
45;17.4;101.9;4;13.9
32;14.5;95.2;3;12.1
25;13.3;89.1;4;13.5
30;14;94.6;4;14.6
42;15.2;97.6;3;12.2
41;18.4;101.5;4;13.4
8;8.4;68.1;4;14.3
32;13.6;90.5;4;13
43;15.2;101.5;4;14.5
6;8.9;69.4;4;13.4
42;15.7;99.9;4;14
20;10.2;84.7;4;12.7
21;11.1;80.5;3;12
36;14;92;4;14.6
31;12.4;87.7;4;14.4
21;12.5;83.3;3;11.7
56;15.7;106.2;4;13.2
59;16.8;110.3;4;13.5
16;11.4;79.5;4;13.4
46;17.5;101.4;4;12.3
7;8.7;70.5;3;11.3
55;18.7;105;4;14.2
42;13.9;98.7;4;13.3
39;13.9;97;4;13.5
6;7.9;64.3;3;11.7
37;13.9;91.3;4;13
53;18.6;109.3;4;13.2
53;24.8;112.6;4;13.8
41;14.4;95.8;4;13.3
42;12.2;94.2;4;12.6
8;8.3;68.4;2;9.8
44;17.4;103.9;4;13.8
48;16.7;101;4;12.7
8;7.7;66.5;3;12.1
39;14.6;96.3;4;12.8
42;16.9;97.3;4;14.9
56;18.9;108.9;4;14.1
11;9;71.6;4;12.8
13;9.2;75.2;3;11.8
37;14.9;97.7;3;12.1
43;14.9;97.2;4;12.2
23;12.4;85.7;3;11.6
37;13.4;89.4;4;13.4
49;16.1;102.4;4;14
51;13.9;95.9;4;13.7
57;17.9;106.9;4;12.7
54;16.6;105.4;3;11.6
7;10.3;70.5;4;13.7
14;10.6;77.2;2;11.5
59;18.1;113.3;4;15.5
8;8.4;69.3;4;12.6
51;22.1;104.9;4;12.9
53;17.5;108.7;4;14.6
16;8.9;75.7;4;12.2
21;10.9;84.5;3;11.4
37;22.4;102.6;4;13
54;16.2;98.8;4;12.5
31;16.1;93.3;3;11.4
52;18.3;104.9;3;12
25;15.1;89.5;4;13.2
49;19.2;99.8;4;14.2
49;16;100.9;3;11.2
24;11.6;87.4;4;13.1
32;19.5;93.6;4;14.1
39;13.6;95.7;4;12.2
54;19.1;103.6;4;14.9
45;14.7;95.9;4;12.7
45;17.7;99.2;4;13.5
33;12.8;95.3;4;13.7
23;12.1;82.2;4;12.7
50;17.7;102.4;4;13.6
45;19.5;101.9;4;13.7
54;22.8;107.4;4;14.8
43;16.9;100.8;4;13.8
9;9;69.4;3;11.7
51;21.7;106.8;4;13.2
43;18.8;104;3;12
33;14;95.5;4;13.2
19;13.2;87.5;4;13.1
29;12.8;87.3;4;12.8
33;13.5;91.6;4;12.8
55;17.9;110.7;4;12.1
51;17.5;104.8;4;14.1
13;9.8;75.4;3;11.4
34;20.7;102.7;4;12.1
45;17.1;99.2;4;13.7
28;13.9;92.1;4;13.4
8;8.4;68.3;3;11.4
25;10.3;83.4;3;11.3
51;17.5;99.8;4;14.4
30;12;87.2;4;13.6
23;11.7;85.4;4;12.3
17;11.7;82.9;3;11.5
20;14.2;87.4;4;13
20;13.1;86.9;3;11.7
36;14.6;88.5;4;13.3
31;13;87.4;4;14.3
40;15.2;96.9;4;14.1
32;15.8;91.5;4;14.5
23;11.2;80.2;4;13.8
52;19.7;107.2;4;12.9
21;10.8;82.5;2;11.2
34;13.1;88.2;4;12.8
53;17.8;104.6;4;13
51;20;104.5;4;12.4
37;15.1;96.8;4;13.1
11;10.5;74.4;3;10.9
23;14;85;4;11.9
11;7.6;68.7;3;10.6
33;12.7;86;4;13.2
55;16.4;100.7;4;12.5
18;9.3;75.4;3;10.8
46;12.5;94.4;4;12.6
15;9.8;75.3;4;12.7
43;14;94.3;4;14.1
21;11.8;88.8;4;13
42;14.9;102.7;4;12.8
42;16.2;98.2;4;12.9
6;7.8;69.1;4;11.6
38;17.2;98.4;4;12.8
12;12;77.2;4;11.2
57;23.7;111.4;4;11.7
8;9.4;70.8;3;10.9
40;18.2;101.1;4;11.7
10;9.1;72.3;4;12.1
43;20.8;104.6;4;12
55;20.1;110.6;4;12.4
8;9;71.2;4;11
17;10.3;79.4;2;11.2
55;18.2;106.2;4;13
47;26.2;102.3;4;13.9
13;10.4;75.4;2;10.9
19;11.3;84.3;4;12.6
40;15.3;97.5;4;13.8
43;17;100;4;12.2
20;10.5;83.4;4;11.5
30;11.9;84.8;4;12.9
34;14.7;94.3;4;11.6
7;6.9;64.9;4;12.3
29;13.3;89.4;2;10.3
42;17.7;99.8;4;12.9
6;8.7;68.2;3;10.8
44;17.2;102.1;4;13
39;15.3;98.1;4;11.5
21;10.7;83;4;11.6
35;18.3;95.8;4;12.1
32;13.5;88.8;3;10.8
32;13.3;92.7;4;11.9
40;12.9;91.7;4;11.1
29;11.3;82.7;4;12.1
26;12;87.9;4;13.6
38;16;98.4;4;11.8
21;11.8;84.2;3;10.6
49;17.1;102.7;4;12.5
43;19.7;102.3;3;10.8
7;8.7;67.7;3;10.9
21;12.8;84.7;4;11.8
59;19.1;110.1;4;11.8
31;15.4;96.6;3;10.6
31;14.3;95.5;3;10.4
26;10.6;81;4;11.6
34;13.9;94.4;4;12.4
6;6.7;62.9;4;11
44;15.2;97.7;4;11.2
36;15.2;92.3;3;10.9
46;13.9;96.9;4;12.2
33;17.8;97.7;4;11.9
36;15.2;98.1;4;11.5
27;13.8;87.5;3;10.6
39;11.8;88.3;3;10.2
24;11.3;81.2;4;11.1
55;20.2;110.6;4;13.8
11;11.5;74.4;4;13.3
8;9.5;71.4;4;13.5
19;11.3;80.1;4;12.7
9;9;70.6;3;11.7
58;17.4;106.2;4;13.5
11;12.2;76.2;3;10.6
10;8.5;72.7;4;11.7
35;13.5;90;4;13.1
